[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publishing/output/FileCreationException.java:20:69:20:86""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:292:11:292:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:294:11:294:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfActionAjax.java:47:25:47:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfActionAjax.java:75:25:75:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfActionAjax.java:100:25:100:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfActionAjax.java:138:34:138:47""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfActionClassAjax.java:63:25:63:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfActionClassAjax.java:95:25:95:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfActionClassAjax.java:135:25:135:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfBaseAction.java:49:26:49:50""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfBaseAction.java:58:25:58:49""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfSchemeAjax.java:48:34:48:47""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfStepAjax.java:93:57:93:70""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfStepAjax.java:133:25:133:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfStepAjax.java:151:25:151:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfStepAjax.java:176:25:176:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfTaskAjax.java:73:25:73:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfTaskAjax.java:104:25:104:38""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfTaskAjax.java:134:56:134:69""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/MethodInvocationException.java:136:24:136:41""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/ParseErrorException.java:254:14:254:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/directive/StopCommand.java:67:36:67:53""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/ParseException.java:104:14:104:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/TokenMgrError.java:115:14:115:31""]] can be exposed to an external user.","/dotCMS/src/main/java/com/dotmarketing/portlets/workflows/ajax/WfBaseAction.java","95","32","95","48"
"Information exposure through a stack trace","Information from a stack trace propagates to an external user. Stack traces can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publisher/business/DotPublisherException.java:31:10:31:27""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publishing/output/FileCreationException.java:20:69:20:86""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:292:11:292:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:294:11:294:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/servlets/ajax/AjaxDirectorServlet.java:87:87:87:100""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/MethodInvocationException.java:136:24:136:41""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/ParseErrorException.java:254:14:254:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/directive/StopCommand.java:67:36:67:53""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/ParseException.java:104:14:104:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/TokenMgrError.java:115:14:115:31""]] can be exposed to an external user.","/dotCMS/src/main/java/com/dotmarketing/servlets/ajax/AjaxDirectorServlet.java","87","87","87","100"
"Information exposure through a stack trace","Information from a stack trace propagates to an external user. Stack traces can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publisher/business/DotPublisherException.java:31:10:31:27""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publishing/output/FileCreationException.java:20:69:20:86""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:292:11:292:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:294:11:294:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/util/UtilMethods.java:1379:65:1379:78""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/MethodInvocationException.java:136:24:136:41""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/ParseErrorException.java:254:14:254:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/directive/StopCommand.java:67:36:67:53""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/ParseException.java:104:14:104:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/TokenMgrError.java:115:14:115:31""]] can be exposed to an external user.","/dotCMS/src/main/java/org/apache/velocity/io/VelocityWriter.java","129","22","129","23"
"Information exposure through a stack trace","Information from a stack trace propagates to an external user. Stack traces can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publisher/business/DotPublisherException.java:31:10:31:27""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publishing/output/FileCreationException.java:20:69:20:86""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:292:11:292:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:294:11:294:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/util/UtilMethods.java:1379:65:1379:78""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/MethodInvocationException.java:136:24:136:41""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/ParseErrorException.java:254:14:254:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/directive/StopCommand.java:67:36:67:53""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/ParseException.java:104:14:104:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/TokenMgrError.java:115:14:115:31""]] can be exposed to an external user.","/dotCMS/src/main/java/org/apache/velocity/runtime/directive/Include.java","283","22","283","47"
"Information exposure through a stack trace","Information from a stack trace propagates to an external user. Stack traces can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publisher/business/DotPublisherException.java:31:10:31:27""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publishing/output/FileCreationException.java:20:69:20:86""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:292:11:292:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:294:11:294:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/util/UtilMethods.java:1379:65:1379:78""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/MethodInvocationException.java:136:24:136:41""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/ParseErrorException.java:254:14:254:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/directive/StopCommand.java:67:36:67:53""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/ParseException.java:104:14:104:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/TokenMgrError.java:115:14:115:31""]] can be exposed to an external user.","/dotCMS/src/main/java/org/apache/velocity/runtime/parser/node/ASTReference.java","496","26","496","33"
"Information exposure through a stack trace","Information from a stack trace propagates to an external user. Stack traces can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publisher/business/DotPublisherException.java:31:10:31:27""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotcms/publishing/output/FileCreationException.java:20:69:20:86""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:292:11:292:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/com/dotmarketing/portlets/contentlet/business/DotContentletValidationException.java:294:11:294:28""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/MethodInvocationException.java:136:24:136:41""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/exception/ParseErrorException.java:254:14:254:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/directive/StopCommand.java:67:36:67:53""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/ParseException.java:104:14:104:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/runtime/parser/TokenMgrError.java:115:14:115:31""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/servlet/VelocityServlet.java:691:22:691:39""]] can be exposed to an external user.
[[""Error information""|""relative:///dotCMS/src/main/java/org/apache/velocity/servlet/VelocityServlet.java:699:9:699:13""]] can be exposed to an external user.","/dotCMS/src/main/java/org/apache/velocity/servlet/VelocityServlet.java","705","43","705","57"
